,model,model,model,SEATED,SEATED,SEATED,STANDING_UP,STANDING_UP,STANDING_UP,WALKING,WALKING,WALKING,TURNING,TURNING,TURNING,SITTING_DOWN,SITTING_DOWN,SITTING_DOWN
,sp,sw,fused,sp,sw,fused,sp,sw,fused,sp,sw,fused,sp,sw,fused,sp,sw,fused
n,,,,,,,,,,,,,,,,,,
1,2,1,2,2,2,1,0,1,3,2,1,2,2,1,2,0,1,2
2,2,1,1,1,3,2,2,2,3,2,2,1,3,1,2,3,2,2
3,2,1,1,1,3,2,2,1,2,2,3,1,3,1,2,2,2,3
4,2,2,1,1,3,2,2,2,2,2,3,1,3,1,2,2,3,2
5,2,1,2,1,3,2,2,1,2,2,2,2,0,3,2,2,3,2
6,2,3,2,1,1,2,2,1,2,2,2,2,0,3,3,2,3,2
7,2,2,2,1,3,2,2,1,2,2,2,2,0,3,3,2,3,2
8,2,3,2,2,0,2,2,3,2,2,2,2,0,3,0,2,3,2
9,1,3,2,2,2,2,2,3,2,1,3,2,0,3,0,3,3,2
10,2,3,2,2,2,2,2,3,2,2,3,2,0,3,0,3,2,2
11,1,3,2,2,0,2,2,3,2,1,3,2,0,3,0,3,3,2
12,1,3,2,2,0,2,3,3,2,1,3,2,0,3,0,3,2,2
13,1,3,2,2,0,2,3,3,2,1,3,2,0,3,0,3,2,2
14,1,3,2,3,0,2,3,3,2,2,2,2,0,3,0,3,2,2
15,1,3,2,3,0,2,3,3,2,1,3,2,2,3,0,3,2,2
16,1,2,2,2,0,2,2,3,2,1,2,2,2,3,0,2,2,2
17,1,3,2,2,0,2,3,3,2,1,2,2,2,3,0,3,2,2
18,1,3,2,3,0,2,3,3,2,1,2,2,2,3,0,2,2,2
19,1,3,2,3,0,2,3,2,2,1,3,2,2,3,0,2,2,2
20,1,2,2,2,0,2,3,2,2,1,2,2,2,3,0,3,2,2
21,1,2,2,3,0,2,3,3,2,1,2,2,2,3,3,2,2,2
22,1,3,2,3,0,2,2,3,2,1,3,2,1,3,3,2,2,2
