,model,model,model,model,SEATED,SEATED,SEATED,SEATED,STANDING_UP,STANDING_UP,STANDING_UP,STANDING_UP,WALKING,WALKING,WALKING,WALKING,TURNING,TURNING,TURNING,TURNING,SITTING_DOWN,SITTING_DOWN,SITTING_DOWN,SITTING_DOWN
,mlp,cnn,lstm,cnn-lstm,mlp,cnn,lstm,cnn-lstm,mlp,cnn,lstm,cnn-lstm,mlp,cnn,lstm,cnn-lstm,mlp,cnn,lstm,cnn-lstm,mlp,cnn,lstm,cnn-lstm
n,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1
3,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,0,1,2,2,2,1,1,1,1
4,1,2,2,2,1,1,1,1,1,1,1,1,0,0,2,0,1,2,2,1,1,2,1,2
5,0,2,2,1,1,1,1,2,2,1,1,2,0,0,2,2,1,2,1,1,2,2,1,2
6,1,2,1,1,1,1,1,1,2,1,1,2,0,1,2,1,1,2,2,2,2,2,1,2
7,0,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1
8,0,1,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1
9,2,1,2,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,2,2,1,2
10,1,1,2,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,2,1,1
11,1,1,2,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,2,1,1
12,1,1,2,1,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1
13,1,1,2,1,1,1,1,2,1,2,1,1,2,2,0,1,2,2,2,2,1,1,2,1
14,1,1,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,1
15,1,1,1,1,1,2,1,2,1,2,1,1,2,2,0,1,2,2,2,2,1,1,2,1
16,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1
17,1,1,2,1,1,2,1,2,1,2,1,1,2,2,0,1,2,1,2,2,1,1,2,1
18,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,2,1
19,1,1,1,1,1,2,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,1,2,1
20,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1
21,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,2,1
22,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1
